PID     Executable Path                                                                                                                                                                  
-----   ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1       /sbin/launchd                                                                                                                                                                    
20940   /usr/libexec/UserEventAgent                                                                                                                                                      
20941   /usr/libexec/centaurid                                                                                                                                                           
20942   /usr/libexec/logd                                                                                                                                                                
20943   /usr/libexec/runningboardd                                                                                                                                                       
20944   /System/Library/CoreServices/SpringBoard.app/SpringBoard                                                                                                                         
20946   /System/Library/PrivateFrameworks/AssistantServices.framework/assistantd                                                                                                         
20947   /usr/libexec/routined                                                                                                                                                            
20948   /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted                                                                                                     
20949   /System/Library/Frameworks/Accounts.framework/accountsd                                                                                                                          
20950   /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd                                                                                                      
20953   /usr/libexec/terminusd                                                                                                                                                           
20955   /usr/libexec/configd                                                                                                                                                             
20958   /System/Library/PrivateFrameworks/TCC.framework/Support/tccd                                                                                                                     
20959   /System/Library/CoreServices/powerd.bundle/powerd                                                                                                                                
20961   /usr/libexec/atc                                                                                                                                                                 
20964   /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed                                                                                                          
20965   /usr/sbin/wifid                                                                                                                                                                  
20971   /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd                                                                                                 
20973   /usr/libexec/watchdogd                                                                                                                                                           
20974   /usr/libexec/nfcd                                                                                                                                                                
20975   /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/identityservicesd                                                                                          
20978   /usr/libexec/thermalmonitord                                                                                                                                                     
20979   /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored                                                                                              
20980   /usr/libexec/cameracaptured                                                                                                                                                      
20981   /usr/libexec/appprotectiond                                                                                                                                                      
20982   /usr/libexec/bulletindistributord                                                                                                                                                
20983   /usr/libexec/backboardd                                                                                                                                                          
20985   /usr/libexec/aonsensed                                                                                                                                                           
20988   /usr/libexec/timed                                                                                                                                                               
20989   /usr/libexec/sharingd                                                                                                                                                            
20991   /usr/libexec/locationd                                                                                                                                                           
20993   /usr/libexec/powerexceptionsd                                                                                                                                                    
20994   /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/imagent                                                                                                           
20995   /usr/libexec/containermanagerd                                                                                                                                                   
20996   /usr/libexec/audioaccessoryd                                                                                                                                                     
21000   /System/Library/PrivateFrameworks/SleepDaemon.framework/sleepd                                                                                                                   
21005   /System/Library/CoreServices/OTACrashCopier                                                                                                                                      
21008   /usr/libexec/peakpowermanagerd                                                                                                                                                   
21010   /usr/libexec/safetyalertsd                                                                                                                                                       
21011   /usr/libexec/rapportd                                                                                                                                                            
21013   /usr/sbin/bluetoothd                                                                                                                                                             
21014   /System/Library/PrivateFrameworks/AppleMediaServices.framework/amsaccountsd                                                                                                      
21015   /usr/sbin/fairplayd.H2                                                                                                                                                           
21016   /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter                                                                                                            
21017   /usr/libexec/fseventsd                                                                                                                                                           
21019   /usr/libexec/IOMFB_bics_daemon                                                                                                                                                   
21021   /usr/sbin/distnoted                                                                                                                                                              
21022   /usr/sbin/notifyd                                                                                                                                                                
