index,tick,time
0,44,2.2
1,45,2.25
2,46,2.3
3,46,2.3
4,47,2.35
5,48,2.4
6,48,2.4
7,49,2.45
8,50,2.5
9,50,2.5
10,51,2.55
11,52,2.6
12,52,2.6
13,53,2.65
14,54,2.7
15,54,2.7
16,55,2.75
17,56,2.8
18,56,2.8
19,57,2.85
20,58,2.9
21,58,2.9
22,59,2.95
23,60,3.0
24,60,3.0
25,61,3.05
26,62,3.1
27,62,3.1
28,63,3.15
29,64,3.2
30,64,3.2
31,65,3.25
32,66,3.3
33,66,3.3
34,67,3.35
35,68,3.4
36,68,3.4
37,69,3.45
38,70,3.5
39,70,3.5
40,71,3.55
41,72,3.6
42,72,3.6
43,73,3.65
44,74,3.7
45,74,3.7
46,75,3.75
47,76,3.8
48,76,3.8
49,77,3.85
50,78,3.9
51,78,3.9
52,79,3.95
53,80,4.0
54,80,4.0
55,81,4.05
56,82,4.1
57,82,4.1
58,83,4.15
59,84,4.2
60,84,4.2
61,85,4.25
62,86,4.3
63,86,4.3
64,87,4.35
65,88,4.4
66,88,4.4
67,89,4.45
68,90,4.5
69,90,4.5
70,91,4.55
71,92,4.6
72,92,4.6
73,93,4.65
74,94,4.7
75,94,4.7
76,95,4.75
77,96,4.8
78,96,4.8
79,97,4.85
80,98,4.9
81,98,4.9
82,99,4.95
83,100,5.0
84,100,5.0
85,101,5.05
86,102,5.1
87,102,5.1
88,103,5.15
89,104,5.2
