match-baseline preparation tick 0 team0=5/100 supply=9/30 team1=5/100 supply=9/30 team2=5/100 supply=9/30 team3=5/100 supply=9/30
match-latency slow_step tick=1 phase=preparation update_wall_ms=25.923 monotonic_ms=61.661 wall_epoch_ms=1789394069389.830 profile_collected=1 profile_tick=1 setup_ms=0.007 production_ms=0.023 movement_economy_ms=25.877 vision_ms=0.015 combat_ms=0.000 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=67832 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=61 terrain_targets=1112 terrain_payload_bytes=249856 profile_total_ms=25.923
match-latency slow_step tick=1921 phase=preparation update_wall_ms=40.591 monotonic_ms=855.798 wall_epoch_ms=1789394070183.969 profile_collected=1 profile_tick=1921 setup_ms=0.000 production_ms=0.008 movement_economy_ms=40.542 vision_ms=0.036 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=128156 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=261 terrain_targets=1393 terrain_payload_bytes=1069056 profile_total_ms=40.588
match-latency slow_step tick=2081 phase=preparation update_wall_ms=24.026 monotonic_ms=1037.288 wall_epoch_ms=1789394070365.458 profile_collected=1 profile_tick=2081 setup_ms=0.000 production_ms=0.008 movement_economy_ms=23.983 vision_ms=0.032 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=47355 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=372 terrain_targets=1435 terrain_payload_bytes=1523712 profile_total_ms=24.025
match-latency slow_step tick=2401 phase=preparation update_wall_ms=22.267 monotonic_ms=1393.595 wall_epoch_ms=1789394070721.765 profile_collected=1 profile_tick=2401 setup_ms=0.000 production_ms=0.007 movement_economy_ms=22.221 vision_ms=0.039 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=95697 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=614 terrain_targets=1519 terrain_payload_bytes=2514944 profile_total_ms=22.267
match-latency slow_step tick=2551 phase=preparation update_wall_ms=22.518 monotonic_ms=1564.957 wall_epoch_ms=1789394070893.127 profile_collected=1 profile_tick=2551 setup_ms=0.000 production_ms=0.007 movement_economy_ms=22.471 vision_ms=0.039 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=42147 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=700 terrain_targets=1561 terrain_payload_bytes=2867200 profile_total_ms=22.518
match-latency slow_step tick=2602 phase=preparation update_wall_ms=37.649 monotonic_ms=1634.137 wall_epoch_ms=1789394070962.307 profile_collected=1 profile_tick=2602 setup_ms=0.000 production_ms=0.009 movement_economy_ms=37.603 vision_ms=0.036 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=101248 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=765 terrain_targets=1582 terrain_payload_bytes=3133440 profile_total_ms=37.649
match-latency slow_step tick=2741 phase=preparation update_wall_ms=29.666 monotonic_ms=1921.702 wall_epoch_ms=1789394071249.872 profile_collected=1 profile_tick=2741 setup_ms=0.000 production_ms=0.011 movement_economy_ms=29.614 vision_ms=0.039 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=34062 terrain_misses=54768 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=854 terrain_targets=3301 terrain_payload_bytes=3497984 profile_total_ms=29.666
match-latency slow_step tick=2781 phase=preparation update_wall_ms=20.495 monotonic_ms=2020.244 wall_epoch_ms=1789394071348.415 profile_collected=1 profile_tick=2781 setup_ms=0.000 production_ms=0.012 movement_economy_ms=20.442 vision_ms=0.039 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=78792 terrain_misses=4508 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=859 terrain_targets=3344 terrain_payload_bytes=3518464 profile_total_ms=20.495
match-latency slow_step tick=2961 phase=preparation update_wall_ms=20.415 monotonic_ms=2238.537 wall_epoch_ms=1789394071566.707 profile_collected=1 profile_tick=2961 setup_ms=0.000 production_ms=0.010 movement_economy_ms=20.362 vision_ms=0.041 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=37352 terrain_misses=9331 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=896 terrain_targets=3451 terrain_payload_bytes=3670016 profile_total_ms=20.415
match-latency slow_step tick=3002 phase=preparation update_wall_ms=25.840 monotonic_ms=2339.324 wall_epoch_ms=1789394071667.494 profile_collected=1 profile_tick=3002 setup_ms=0.000 production_ms=0.012 movement_economy_ms=25.786 vision_ms=0.042 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=146125 terrain_misses=7875 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=902 terrain_targets=3516 terrain_payload_bytes=3694592 profile_total_ms=25.840
match-latency slow_step tick=3062 phase=preparation update_wall_ms=44.113 monotonic_ms=2451.560 wall_epoch_ms=1789394071779.730 profile_collected=1 profile_tick=3062 setup_ms=0.000 production_ms=0.012 movement_economy_ms=44.058 vision_ms=0.042 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=1788 terrain_misses=58465 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=968 terrain_targets=3581 terrain_payload_bytes=3964928 profile_total_ms=44.113
match-latency slow_step tick=3162 phase=preparation update_wall_ms=25.346 monotonic_ms=2618.665 wall_epoch_ms=1789394071946.835 profile_collected=1 profile_tick=3162 setup_ms=0.000 production_ms=0.012 movement_economy_ms=25.288 vision_ms=0.045 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=134596 terrain_misses=5005 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=996 terrain_targets=3623 terrain_payload_bytes=4079616 profile_total_ms=25.346
match-latency slow_step tick=3181 phase=preparation update_wall_ms=20.665 monotonic_ms=2690.868 wall_epoch_ms=1789394072019.039 profile_collected=1 profile_tick=3181 setup_ms=0.000 production_ms=0.015 movement_economy_ms=20.603 vision_ms=0.046 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=31468 terrain_misses=8880 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=998 terrain_targets=3644 terrain_payload_bytes=4087808 profile_total_ms=20.665
match-latency slow_step tick=3253 phase=preparation update_wall_ms=27.547 monotonic_ms=2807.442 wall_epoch_ms=1789394072135.612 profile_collected=1 profile_tick=3253 setup_ms=0.000 production_ms=0.011 movement_economy_ms=27.489 vision_ms=0.046 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=51940 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=3731 terrain_payload_bytes=4194304 profile_total_ms=27.547
match-latency slow_step tick=3425 phase=preparation update_wall_ms=23.379 monotonic_ms=3134.367 wall_epoch_ms=1789394072462.537 profile_collected=1 profile_tick=3425 setup_ms=0.000 production_ms=0.011 movement_economy_ms=23.316 vision_ms=0.051 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=47817 terrain_misses=16170 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=3925 terrain_payload_bytes=4194304 profile_total_ms=23.378
match-latency slow_step tick=3462 phase=preparation update_wall_ms=41.635 monotonic_ms=3216.553 wall_epoch_ms=1789394072544.724 profile_collected=1 profile_tick=3462 setup_ms=0.000 production_ms=0.013 movement_economy_ms=41.571 vision_ms=0.049 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=54339 terrain_misses=4557 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=3968 terrain_payload_bytes=4194304 profile_total_ms=41.635
match-latency slow_step tick=3482 phase=preparation update_wall_ms=40.352 monotonic_ms=3308.999 wall_epoch_ms=1789394072637.171 profile_collected=1 profile_tick=3482 setup_ms=0.000 production_ms=0.014 movement_economy_ms=40.287 vision_ms=0.051 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=51056 terrain_misses=2529 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4011 terrain_payload_bytes=4194304 profile_total_ms=40.352
match-latency slow_step tick=3501 phase=preparation update_wall_ms=22.338 monotonic_ms=3392.640 wall_epoch_ms=1789394072720.814 profile_collected=1 profile_tick=3501 setup_ms=0.000 production_ms=0.016 movement_economy_ms=22.270 vision_ms=0.050 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=52353 terrain_misses=1701 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4032 terrain_payload_bytes=4194304 profile_total_ms=22.338
match-latency slow_step tick=3502 phase=preparation update_wall_ms=24.610 monotonic_ms=3415.234 wall_epoch_ms=1789394072743.407 profile_collected=1 profile_tick=3502 setup_ms=0.000 production_ms=0.016 movement_economy_ms=24.542 vision_ms=0.051 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=56539 terrain_misses=3621 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4054 terrain_payload_bytes=4194304 profile_total_ms=24.610
match-latency slow_step tick=3561 phase=preparation update_wall_ms=21.872 monotonic_ms=3506.294 wall_epoch_ms=1789394072834.466 profile_collected=1 profile_tick=3561 setup_ms=0.000 production_ms=0.016 movement_economy_ms=21.804 vision_ms=0.050 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=46046 terrain_misses=483 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4075 terrain_payload_bytes=4194304 profile_total_ms=21.871
match-latency slow_step tick=3621 phase=preparation update_wall_ms=23.673 monotonic_ms=3672.758 wall_epoch_ms=1789394073000.930 profile_collected=1 profile_tick=3621 setup_ms=0.000 production_ms=0.015 movement_economy_ms=23.604 vision_ms=0.053 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=46529 terrain_misses=966 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4139 terrain_payload_bytes=4194304 profile_total_ms=23.673
match-latency slow_step tick=3622 phase=preparation update_wall_ms=21.850 monotonic_ms=3696.704 wall_epoch_ms=1789394073024.876 profile_collected=1 profile_tick=3622 setup_ms=0.000 production_ms=0.014 movement_economy_ms=21.781 vision_ms=0.054 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=6222 terrain_misses=132 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4183 terrain_payload_bytes=4194304 profile_total_ms=21.850
match-latency slow_step tick=3626 phase=preparation update_wall_ms=52.984 monotonic_ms=3720.264 wall_epoch_ms=1789394073048.436 profile_collected=1 profile_tick=3626 setup_ms=0.000 production_ms=0.013 movement_economy_ms=52.917 vision_ms=0.053 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=153076 terrain_misses=164934 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4183 terrain_payload_bytes=4194304 profile_total_ms=52.984
match-latency slow_step tick=3642 phase=preparation update_wall_ms=21.987 monotonic_ms=3827.050 wall_epoch_ms=1789394073155.226 profile_collected=1 profile_tick=3642 setup_ms=0.000 production_ms=0.014 movement_economy_ms=21.915 vision_ms=0.056 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=4236 terrain_misses=44 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4205 terrain_payload_bytes=4194304 profile_total_ms=21.987
match-latency slow_step tick=3669 phase=preparation update_wall_ms=103.787 monotonic_ms=3861.943 wall_epoch_ms=1789394073190.119 profile_collected=1 profile_tick=3669 setup_ms=0.000 production_ms=0.013 movement_economy_ms=103.719 vision_ms=0.054 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=98469 terrain_misses=297871 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4226 terrain_payload_bytes=4194304 profile_total_ms=103.787
match-latency slow_step tick=3681 phase=preparation update_wall_ms=23.487 monotonic_ms=4021.685 wall_epoch_ms=1789394073349.858 profile_collected=1 profile_tick=3681 setup_ms=0.001 production_ms=0.020 movement_economy_ms=23.420 vision_ms=0.045 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=20860 terrain_misses=6531 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4247 terrain_payload_bytes=4194304 profile_total_ms=23.487
match-latency slow_step tick=3682 phase=preparation update_wall_ms=34.198 monotonic_ms=4045.448 wall_epoch_ms=1789394073373.625 profile_collected=1 profile_tick=3682 setup_ms=0.000 production_ms=0.015 movement_economy_ms=34.126 vision_ms=0.055 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=384608 terrain_misses=19936 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4247 terrain_payload_bytes=4194304 profile_total_ms=34.198
match-latency slow_step tick=3683 phase=preparation update_wall_ms=20.774 monotonic_ms=4080.145 wall_epoch_ms=1789394073408.318 profile_collected=1 profile_tick=3683 setup_ms=0.000 production_ms=0.016 movement_economy_ms=20.703 vision_ms=0.054 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2074 terrain_misses=88 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4269 terrain_payload_bytes=4194304 profile_total_ms=20.774
match-latency slow_step tick=3722 phase=preparation update_wall_ms=75.326 monotonic_ms=4175.217 wall_epoch_ms=1789394073503.396 profile_collected=1 profile_tick=3722 setup_ms=0.000 production_ms=0.015 movement_economy_ms=75.254 vision_ms=0.055 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=394064 terrain_misses=20952 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4312 terrain_payload_bytes=4194304 profile_total_ms=75.326
match-latency slow_step tick=4375 phase=preparation update_wall_ms=149.153 monotonic_ms=4658.866 wall_epoch_ms=1789394073987.039 profile_collected=1 profile_tick=4375 setup_ms=0.000 production_ms=0.009 movement_economy_ms=149.090 vision_ms=0.052 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=46396 terrain_misses=585620 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4312 terrain_payload_bytes=4194304 profile_total_ms=149.153
match-latency slow_step tick=5293 phase=preparation update_wall_ms=20.864 monotonic_ms=5417.975 wall_epoch_ms=1789394074746.148 profile_collected=1 profile_tick=5293 setup_ms=0.000 production_ms=0.003 movement_economy_ms=20.799 vision_ms=0.060 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=6336 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4312 terrain_payload_bytes=4194304 profile_total_ms=20.864
match-latency slow_step tick=5294 phase=preparation update_wall_ms=23.905 monotonic_ms=5439.125 wall_epoch_ms=1789394074767.298 profile_collected=1 profile_tick=5294 setup_ms=0.000 production_ms=0.004 movement_economy_ms=23.840 vision_ms=0.061 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=10672 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4312 terrain_payload_bytes=4194304 profile_total_ms=23.905
match-latency slow_step tick=5921 phase=preparation update_wall_ms=21.140 monotonic_ms=5944.946 wall_epoch_ms=1789394075273.123 profile_collected=1 profile_tick=5921 setup_ms=0.000 production_ms=0.004 movement_economy_ms=21.072 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=4224 terrain_misses=54 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4339 terrain_payload_bytes=4194304 profile_total_ms=21.140
match-latency slow_step tick=5932 phase=preparation update_wall_ms=20.957 monotonic_ms=5978.330 wall_epoch_ms=1789394075306.504 profile_collected=1 profile_tick=5932 setup_ms=0.000 production_ms=0.003 movement_economy_ms=20.889 vision_ms=0.064 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2168 terrain_misses=28 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4367 terrain_payload_bytes=4194304 profile_total_ms=20.957
match-latency slow_step tick=5933 phase=preparation update_wall_ms=20.836 monotonic_ms=5999.788 wall_epoch_ms=1789394075327.962 profile_collected=1 profile_tick=5933 setup_ms=0.000 production_ms=0.005 movement_economy_ms=20.764 vision_ms=0.065 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=4246 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4367 terrain_payload_bytes=4194304 profile_total_ms=20.836
match-latency slow_step tick=5934 phase=preparation update_wall_ms=21.513 monotonic_ms=6020.923 wall_epoch_ms=1789394075349.098 profile_collected=1 profile_tick=5934 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.445 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2180 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4367 terrain_payload_bytes=4194304 profile_total_ms=21.513
match-latency slow_step tick=5982 phase=preparation update_wall_ms=22.456 monotonic_ms=6176.239 wall_epoch_ms=1789394075504.413 profile_collected=1 profile_tick=5982 setup_ms=0.000 production_ms=0.005 movement_economy_ms=22.386 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=4360 terrain_misses=112 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4423 terrain_payload_bytes=4194304 profile_total_ms=22.455
match-baseline preparation tick 6000 team0=21/100 supply=21/184 team1=21/100 supply=21/184 team2=21/100 supply=21/184 team3=21/100 supply=21/184
match-latency slow_step tick=6035 phase=preparation update_wall_ms=21.751 monotonic_ms=6235.903 wall_epoch_ms=1789394075564.077 profile_collected=1 profile_tick=6035 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.683 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=16852 terrain_misses=623 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4477 terrain_payload_bytes=4194304 profile_total_ms=21.751
match-latency slow_step tick=6041 phase=preparation update_wall_ms=22.366 monotonic_ms=6310.467 wall_epoch_ms=1789394075638.641 profile_collected=1 profile_tick=6041 setup_ms=0.000 production_ms=0.006 movement_economy_ms=22.296 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=15239 terrain_misses=189 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4504 terrain_payload_bytes=4194304 profile_total_ms=22.366
match-latency slow_step tick=6042 phase=preparation update_wall_ms=24.694 monotonic_ms=6333.081 wall_epoch_ms=1789394075661.255 profile_collected=1 profile_tick=6042 setup_ms=0.000 production_ms=0.006 movement_economy_ms=24.625 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2236 terrain_misses=28 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=24.694
